a,b,c,d,
-13.32,981.09,2.148,-0.0004,Formic Acid
7.818,-2024.6,1.985,-0.0379,Benzene
-5.03,123.37,1.036,-0.0002,Nitormethane
6.311,1571.3,-0.343,-0.0178,Glycerol
51.37,1309.4,-9.527,-0.0004,Nitromethane
19.42,-2273,-0.002,-0.0377,1-Butanol
-113.63,6985,17.37,-0.0098,Nitromethane
-5.176,3786,-1.056,-0.0022,1-Pentadecanol
-87.29,3406.2,14.66,-0.0254,cyclohexanol
75.53,-6010.4,-7.3,-0.0322,water
7.026,-1696.7,0.751,-0.0218,furfural
3.38,-2022.8,2.57,-0.0199,water
-0.928,6176,-8.02,0.0925,phenol
14.64,-8233.7,10.03,-0.144,octane
-20.23,-2319.6,7.926,-0.0637,phenol
15.95,-769.65,-1.327,0.0011,water
62.67,-2153.3,-10.11,0.0034,1-Butanol
27.21,-5621.7,2.422,-0.0559,water
-4.529,775.49,0.316,-0.0025,2-Methyl-1-Propanol
43.73,-6847,0.294,-0.0582,water
-96.89,5099.7,13.89,-0.0055,3-nitrophenol
190,-14766,-18.31,-0.0935,water
-23.99,-2068.6,7.692,-0.0438,2-nitroaniline
32.51,-502.58,-4.319,0.001,water
-39.51,-346.4,9.084,-0.0371,aniline
41.69,-1417.7,-5.631,0.0005,water
-48.14,-3714.5,15.43,-0.0957,benzoic acid
123.99,-15972,-6.184,-0.1006,water
-97.8,2811.8,17.16,-0.0359,4-methylphenol
67.37,-9243.3,-1.363,-0.0734,water
30.56,-9352.8,3.035,-0.0662,3-ethyl-4-methylpyridine
0.141,2516,-0.001,0.0004,water
370.9,-19224,-53.95,-0.0054,1-ethyl-3-isopropyl glycerol ether
-242,12155,35.49,0.0168,water
-244.8,5664.3,43.67,-0.0781,"2,2 dimethyl 1,3 oxypropane"
-184.7,4384.9,33.32,-0.0538,water
0.022,-1873,2.26,-0.0215,2-methyltetrahydrofuran
-0.018,1138,-1.459,0.0268,water
-95.63,-6.3028,20.49,-0.0685,propanal
-102.7,-6.5408,21.04,-0.0511,water
-122.1,-6.3316,25.04,-0.0722,tetrahydrofuran
-147.3,-6.567,30.01,-0.0712,water
-35.91,-6939.6,16.78,-0.1242,2-buten-2-one
-175.3,9693.4,24.11,0.0289,water
-68.67,70.219,14.95,-0.0499,glycerol
-136.6,-11.676,28.36,-0.0807,3-aminotoluene
-0.779,-136.08,1.144,-0.008,glycerol
-60.82,4.3864,11.95,-0.025,benzylethylamine
-170.8,-7.0859,33.82,-0.0848,"2,6-dimethylpyridine"
22.2,-2.4209,-2.405,-0.0038,water
-113.6,-141.31,21.74,-0.0466,1-azacycloheptane
-148.5,25.449,31.87,-0.0884,water
-334.7,-6.3761,65.81,-0.154,nicotine
207.3,-6.5299,-39.08,0.0849,water
-129.4,-6.4518,25.79,-0.0706,2-butoxyethanol
-318.7,-6.6442,67,-0.1884,water
-79.45,-13.548,16.89,-0.0513,glycerol
-330.6,-15.043,68.92,-0.206,2-methoxyphenol
-139.2,-4.6567,28.11,-0.0778,1-propoxy-2-propanol
5.714,-2.4595,-0.222,0.0042,water
